from,to,relationship
FK,164a,1
IF,164a,1
MM,164b,1
IF,164b,1
FK,164c,1
NG,164c,1
DB,164d,1
JKB,164d,1
ND,164d,1
FK,164d,1
UF,164e,1
MB,164e,1
MBE,164f,1
TP,164f,1
UF,164g,1
WWM,164g,1
TM,164h,1
UT,164h,1
TM,164i,1
TP,164i,1
WWM,164i,1
BM,164j,1
UF,164j,1
FK,164k,1
MB,164k,1
MM,164l,1
PA,164l,1
TM,164m,1
CAG,164m,1
UF,164n,1
BG,164n,1
BM,164o,1
WWM,164o,1
KD,164p,1
FK,164p,1
MM,164q,1
NG,164q,1
BG,164r,1
UF,164r,1
BG,164s,1
FK,164s,1
KT,164t,1
VB,164t,1
MB,164u,1
JBS,164u,1
CE,164v,1
KS,164v,1
MAW,164v,1
ND,164v,1
JBS,164v,1
UT,164v,1
DB,164v,1
UF,164v,1
JW,164v,1
RY,164w,1
WWM,164w,1
JJL,164x,1
VK,164x,1
MB,164y,1
MM,164y,1
RY,164z,1
KU,164z,1
MM,164z,1
BG,164aa,1
DB,164aa,1
FK,164aa,1
MAW,164aa,1
MM,164ab,1
WWM,164ab,1
JKB,164ac,1
MM,164ac,1
WWM,164ad,1
JB,164ad,1
MM,164ae,1
VB,164ae,1
BG,164af,1
UF,164af,1
KD,164ag,1
MB,164ag,1
MB,164ah,1
UT,164ah,1
CAG,164ai,1
WWM,164ai,1
